title,link,summary,date,source,cleaned,sentiment#,sentiment,trump,biden
The White House senior adviser contradicts Gretchen Whitmer's assertion that Michigan is struggling to obtain supplies needed to conduct coronavirus tests,http://rss.cnn.com/~r/rss/cnn_topstories/~3/8QQHrWhp3rI/index.html,Podcast | Timeline | Catch up | All 50 states' reopening plans,2020-05-03 19:49:16+00:00,rss/cnn_topstories,the white house senior adviser contradicts gretchen whitmers assertion that michigan is struggling to obtain supplies needed to conduct coronavirus tests podcast  timeline  catch up  all 50 states reopening plans,-0.6369,negative,0,0
"244,000 deaths have been recorded globally",http://rss.cnn.com/~r/rss/cnn_topstories/~3/84-LXIXm21k/,,no date,rss/cnn_topstories,244000 deaths have been recorded globally ,0.0,neutral,0,0
City drops mask rule after workers are threatened,http://rss.cnn.com/~r/rss/cnn_topstories/~3/Cw6Erw1n8x8/index.html,Podcast | Timeline | Catch up | States' reopening plans,2020-05-03 12:25:55+00:00,rss/cnn_topstories,city drops mask rule after workers are threatened podcast  timeline  catch up  states reopening plans,-0.4588,negative,0,0
King breaks down which states meet guidelines for reopening,http://rss.cnn.com/~r/rss/cnn_topstories/~3/-IXMc2JVtkE/states-reopening-john-king-magic-wall-ip-vpx.cnn,CNN's John King takes a look at how all 50 states are addressing reopening amid the coronavirus pandemic.,2020-05-03 16:35:39+00:00,rss/cnn_topstories,king breaks down which states meet guidelines for reopening cnns john king takes a look at how all 50 states are addressing reopening amid the coronavirus pandemic,0.0,neutral,0,0
See where your state stands on flattening the curve,http://rss.cnn.com/~r/rss/cnn_topstories/~3/7j-wYoq2Lkw/index.html,,no date,rss/cnn_topstories,see where your state stands on flattening the curve ,0.0,neutral,0,0
Brian Stelter: Leaders are failing to tell the hard truth,http://rss.cnn.com/~r/rss/cnn_topstories/~3/6ZTY6VhC0Rs/stelter-covid-19-coronavirus-opening-hard-truths-rs-vpx.cnn,CNN's Brian Stelter breaks down the hard truths some leaders are refusing to talk about with the public.,2020-05-03 15:41:54+00:00,rss/cnn_topstories,brian stelter leaders are failing to tell the hard truth cnns brian stelter breaks down the hard truths some leaders are refusing to talk about with the public,-0.4019,negative,0,0
Birx: Michigan protests were 'devastatingly worrisome',http://rss.cnn.com/~r/rss/cnn_topstories/~3/KkxGvdQB7Nk/index.html,"Dr. Deborah Birx, a White House coronavirus task force official, said that the protests last week in the Michigan state legislature were ""devastatingly worrisome to me personally.""",2020-05-03 15:29:40+00:00,rss/cnn_topstories,birx michigan protests were devastatingly worrisome dr deborah birx a white house coronavirus task force official said that the protests last week in the michigan state legislature were devastatingly worrisome to me personally,-0.9325,negative,0,0
How Trump has broken the polls,http://rss.cnn.com/~r/rss/cnn_topstories/~3/iOAfQT_MQYI/index.html,Poll of the week: A new Ipsos/Reuters poll finds that former Vice President Joe Biden leads President Donald Trump by a 45% to 39% margin.,2020-05-03 19:39:16+00:00,rss/cnn_topstories,how trump has broken the polls poll of the week a new ipsosreuters poll finds that former vice president joe biden leads president donald trump by a 45 to 39 margin,-0.4767,negative,1,1
Opinion: Donald Trump turns the switch,http://rss.cnn.com/~r/rss/cnn_topstories/~3/psuSa11wCfQ/index.html,Gone were the daily White House briefings with Vice President Mike Pence solemnly urging Americans to shelter at home to stop the spread of Covid-19 and governors to follow a slowly phased-in reopening plan. The 45 days of federally recommended social distancing ended Thursday. Now the Trump administration was all-in on reopening America.,2020-05-03 14:01:31+00:00,rss/cnn_topstories,opinion donald trump turns the switch gone were the daily white house briefings with vice president mike pence solemnly urging americans to shelter at home to stop the spread of covid19 and governors to follow a slowly phasedin reopening plan the 45 days of federally recommended social distancing ended thursday now the trump administration was allin on reopening america,0.1027,neutral,1,0
DeSantis is ready to declare victory but the coronavirus picture in Florida is still unclear,http://rss.cnn.com/~r/rss/cnn_topstories/~3/HWPwkVoTaXQ/index.html,Epidemiologists are still baffled by how the coronavirus pandemic has played out thus far in Florida but the state's governor isn't waiting much longer to declare his response a win.,2020-05-03 16:13:03+00:00,rss/cnn_topstories,desantis is ready to declare victory but the coronavirus picture in florida is still unclear epidemiologists are still baffled by how the coronavirus pandemic has played out thus far in florida but the states governor isnt waiting much longer to declare his response a win,0.8201,positive,0,0
Trump moves to replace official who issued Covid-19 report,http://rss.cnn.com/~r/rss/cnn_topstories/~3/l181T_MjbD8/trump-hhs-christi-grimm-tapper-sotu-vpx.cnn,President Trump has made moves to replace the acting inspector general at the Department of Health and Human Services after the office issued a report about Covid-19.,2020-05-03 14:32:50+00:00,rss/cnn_topstories,trump moves to replace official who issued covid19 report president trump has made moves to replace the acting inspector general at the department of health and human services after the office issued a report about covid19,0.0,neutral,1,0
George W. Bush calls for an end to partisanship in fight against coronavirus,http://rss.cnn.com/~r/rss/cnn_topstories/~3/KMmuXabakXg/index.html,"Former President George W. Bush called for an end to partisanship in the nation's continued battle against the coronavirus, urging Americans to ""remember that empathy and simple kindness are essential powerful tools of national recovery.""",2020-05-03 18:43:21+00:00,rss/cnn_topstories,george w bush calls for an end to partisanship in fight against coronavirus former president george w bush called for an end to partisanship in the nations continued battle against the coronavirus urging americans to remember that empathy and simple kindness are essential powerful tools of national recovery,0.1531,neutral,0,0
Tapper presses Kudlow: Why not take action now?,http://rss.cnn.com/~r/rss/cnn_topstories/~3/1De1XEwlb5Y/larry-kudlow-economy-stimulus-money-sotu-vpx.cnn,CNN's Jake Tapper speaks with White House economic adviser Larry Kudlow about stimulus relief funds for Americans during the coronavirus pandemic.,2020-05-03 14:07:15+00:00,rss/cnn_topstories,tapper presses kudlow why not take action now cnns jake tapper speaks with white house economic adviser larry kudlow about stimulus relief funds for americans during the coronavirus pandemic,0.4767,positive,0,0
"Trump nominee, once a SCOTUS clerk, unhappy how Obamacare ruling played out",http://rss.cnn.com/~r/rss/cnn_topstories/~3/dKZZ7rJ8_Lo/index.html,"Judge Justin Walker, now nominated to a powerful federal court dubbed ""the second highest"" in the nation, remains bitter that the Supreme Court upheld the Affordable Care Act eight years ago.",2020-05-03 16:00:35+00:00,rss/cnn_topstories,trump nominee once a scotus clerk unhappy how obamacare ruling played out judge justin walker now nominated to a powerful federal court dubbed the second highest in the nation remains bitter that the supreme court upheld the affordable care act eight years ago,0.7506,positive,1,0
